term,frequency
dynasty,50
1392,45
century,33
goryeo,30
fund,25
918,25
joseon,23
1910,20
rogers,20
bronze,19
design,17
decorated,17
celadon,16
korea,15
gift,15
mirror,15
glaze,14
art,13
motifs,13
inlaid,13
korean,12
bowl,12
silver,10
1917,10
175,10
made,9
buddhist,9
stoneware,9
sides,8
interior,8
example,8
four,8
head,8
flowers,8
incised,8
1922,8
exterior,8
clouds,8
form,7
objects,7
ritual,7
dated,7
1700,7
141,7
handle,7
purchase,7
lines,7
center,7
small,7
jar,6
vessel,6
collection,6
surface,6
kashyapa,6
metal,6
body,6
back,6
box,6
enlarged,6
glass,6
phoenixes,6
decorative,6
late,6
blue,6
porcelain,6
chrysanthemums,6
rim,6
birds,6
2024,6
boys,6
shaped,5
known,5
yet,5
display,5
reveal,5
animals,5
figure,5
container,5
left,5
lid,5
lotus,5
three,5
patterns,5
iron,5
period,5
samuel,5
nearly,5
bears,5
large,5
early,5
lotuses,5
technique,5
glazed,5
well,4
shape,4
complex,4
features,4
ray,4
lee,4
foundation,4
stone,4
sanskrit,4
mirrors,4
attached,4
bell,4
five,4
buddha,4
scan,4
wood,4
seated,4
visible,4
gilt,4
mary,4
inner,4
wind,4
underside,4
geometric,4
openwork,4
appears,4
stylized,4
dense,4
mold,4
impressed,4
peters,4
1915,4
inscription,4
firing,4
bowls,4
used,4
dragon's,4
create,4
leaves,4
sanggam,4
grapevines,4
green,4
clay,4
cranes,4
seal,4
present,3
gallery,3
peninsula,3
asia,3
history,3
ancient,3
buddhism,3
different,3
flip,3
multiple,3
view,3
construction,3
hidden,3
see,3
half,3
time,3
provides,3
details,3
exhibition,3
possible,3
held,3
along,3
characters,3
cavities,3
torso,3
bokjang,3
displayed,3
images,3
textiles,3
hollow,3
bodhisattva,3
triad,3
nearby,3
separately,3
mid,3
needle,3
appear,3
open,3
adorn,3
decoration,3
waves,3
inlay,3
bird,3
character,3
auspicious,3
floral,3
cobalt,3
royal,3
friends,3
asian,3
gifts,3
dragon,3
amid,3
pictured,3
dish,3
fly,3
black,3
unlike,3
central,3
cup,3
cloud,3
base,3
motif,3
reveals,3
imagery,3
ceramics,3
neck,3
highly,3
identical,3
museum,3
cosmology,3
chime,3
1999,3
arts,2
political,2
cultural,2
innovation,2
unified,2
location,2
end,2
silk,2
received,2
artistic,2
styles,2
sources,2
demonstrating,2
traditions,2
national,2
symbol,2
halves,2
separate,2
anew,2
single,2
chosen,2
techniques,2
utility,2
viewers,2
difficult,2
together,2
first,2
forms,2
using,2
scans,2
repairs,2
use,2
kun,2
hee,2
tomb,2
civil,2
official,2
ancestors,2
sculptures,2
placed,2
honor,2
hands,2
pose,2
slightly,2
indicates,2
nina,2
bunshaft,2
scroll,2
production,2
dharani,2
texts,2
originally,2
huryeongtong,2
shapes,2
